Id, ChartId
17997,chartId_1428817464465_0.5412530305897956
25472,chartId_1438020477741_0.1206180059301411
19834,chartId_1431381263216_0.9011317984573579
452,chartId_1369630945621_0.09159790403432921
44962,chartId_1457727242891_0.5234510914888233
41772,chartId_1454979081499_0.08564642444252968
44817,chartId_1457614915444_0.27974397819309865
50762,chartId_1463325320851_0.34066557937060793
55847,chartId_1470003453309_0.6193494335007105
57331,chartId_1472140402484_0.6115170836797709
1734,chartId_1379482444916_0.9733864665533771
17851,chartId_1428528321567_0.0542811328754807
19566,chartId_1430895007327_0.5482481656059466
22122,chartId_1434086914827_0.6156902090134707
46985,chartId_1459843977905_0.8399982064651412
34788,chartId_1447641614028_0.9479838962436777
15834,chartId_1425320771773_0.7939205782008045
1281,chartId_1374771708353_0.5728461817710304
851,chartId_1370752118583_0.8815978917398853
11740,chartId_1416328768882_0.5887346676670747
34889,chartId_1447727175312_0.007256688084453344
56318,chartId_1470836581475_0.868847276705178
40046,chartId_1453326245038_0.03211842661807229
48265,chartId_1460962221790_0.019927792949602008
2366,chartId_1386041395271_0.5260859442303525
52959,chartId_1465701096565_0.5439769946764228
46713,chartId_1459500063165_0.7915565642872886
16549,chartId_1426663946189_0.13692392647744567
23723,chartId_1435822369287_0.3479800883214921
2921,chartId_1392475205925_0.3259545415345923
35671,chartId_1448487245552_0.6275229949382874
27297,chartId_1440545877282_0.26101915368166817
1566,chartId_1376881397942_0.6750459379019283
48124,chartId_1460772468046_0.24089325872240808
36679,chartId_1449495674036_0.18452537303584943
28320,chartId_1441807600008_0.29577414527109047
9431,chartId_1411075755798_0.9447543364464472
29922,chartId_1443370883925_0.6259663822567472
36962,chartId_1449727589128_0.47359124042792067
43127,chartId_1456238282225_0.8599853445710538
49621,chartId_1462071419275_0.18136304437448253
4811,chartId_1399807999129_0.013288045277743354
35357,chartId_1448178596400_0.9700849191055213
57029,chartId_1471898563626_0.21422232198528945
11474,chartId_1415808637299_0.09323573426640413
25464,chartId_1438013364156_0.4065529886027155
3266,chartId_1395634683043_0.46678934998300886
26768,chartId_1439922820500_0.834386569805744
6083,chartId_1401979760378_0.8010608095442231
1916,chartId_1381365837303_0.10702399443079941
56612,chartId_1471353154903_0.6153917809338225
38754,chartId_1452126262362_0.07704132596772861
54460,chartId_1467253523745_0.6079413519512004
22773,chartId_1434983213089_0.07860279673723586
6020,chartId_1401850929361_0.353683162432355
17496,chartId_1427989440933_0.4944293156731874
3672,chartId_1377978529372_0.09904349132073314
21511,chartId_1433337416481_0.9536589513892485
1920,chartId_1381379125161_0.4232059858194133
8915,chartId_1409945072477_0.8454614907504774
56935,chartId_1471716046914_0.6033863369375467
58114,chartId_1473155102345_0.964786931007807
46478,chartId_1459284736403_0.9578602708401465
34329,chartId_1447272529290_0.8439706639384144
22492,chartId_1434598748961_0.3046308006484043
22556,chartId_1434653445590_0.393693108072633
55498,chartId_1469135277145_0.9001945895806434
